Date,aapl,cvx,ge
2012-3-29,604.49,104.16,19.63
2012-3-28,612.18,103.22,19.69
2012-3-27,609.07,104.34,19.72
2012-3-26,601.64,105.12,19.73
2012-3-23,590.80,103.68,19.46
2012-3-22,594.06,102.70,19.53
2012-3-21,597.20,105.19,19.75
2012-3-20,600.63,106.33,19.75
2012-3-19,595.81,107.91,19.89
2012-3-16,580.42,107.50,19.88
2012-3-15,580.41,107.26,19.84
2012-3-14,584.39,107.90,19.47
2012-3-13,563.10,108.39,19.28
2012-3-12,547.14,107.23,18.82
2012-3-9,540.37,106.81,18.74
2012-3-8,537.22,107.26,18.73
2012-3-7,526.02,106.70,18.47
2012-3-6,525.59,106.11,18.13
2012-3-5,528.47,106.57,18.55
2012-3-2,540.38,106.85,18.67
2012-3-1,539.68,106.99,18.81
2012-2-29,537.67,106.37,18.75
2012-2-28,530.70,106.85,18.85
2012-2-27,521.13,106.87,18.77
2012-2-24,517.81,106.33,18.93
2012-2-23,511.84,105.62,19.00
2012-2-22,508.52,104.79,18.91
2012-2-21,510.32,105.68,18.93
2012-2-17,497.70,103.97,18.81
2012-2-16,497.79,103.84,18.54
2012-2-15,493.29,102.35,18.30
2012-2-14,504.98,103.02,18.47
2012-2-13,498.18,102.91,18.60
2012-2-10,489.08,101.85,18.42
2012-2-9,488.83,102.90,18.66
2012-2-8,472.48,103.28,18.77
2012-2-7,464.70,103.35,18.71
2012-2-6,459.89,103.19,18.58
2012-2-3,455.63,102.06,18.55
2012-2-2,451.11,100.31,18.29
2012-2-1,452.17,99.44,18.31
2012-1-31,452.46,99.76,18.25
2012-1-30,449.02,100.04,18.44
2012-1-27,443.34,100.57,18.56
2012-1-26,440.72,103.11,18.60
2012-1-25,442.73,104.22,18.66
2012-1-24,416.71,103.24,18.38
2012-1-23,423.65,103.52,18.47
2012-1-20,416.60,103.40,18.68
2012-1-19,423.98,103.44,18.68
2012-1-18,425.33,103.35,18.55
2012-1-17,420.96,103.24,18.28
2012-1-13,416.11,102.63,18.38
2012-1-12,417.68,101.55,18.46
2012-1-11,418.83,104.26,18.42
2012-1-10,419.51,105.50,18.26
2012-1-9,418.02,105.92,18.40
2012-1-6,418.68,104.78,18.19
2012-1-5,414.35,105.54,18.09
2012-1-4,409.80,106.59,18.10
2012-1-3,407.61,106.77,17.91
2011-12-30,401.44,102.93,17.47
2011-12-29,401.55,103.97,17.63
2011-12-28,399.10,102.50,17.39
2011-12-27,402.95,104.46,17.57
2011-12-23,399.78,103.99,17.78
2011-12-22,395.04,102.84,17.61
2011-12-21,392.96,101.99,17.09
2011-12-20,392.46,100.29,16.69
2011-12-19,378.85,96.47,16.29
2011-12-16,377.67,97.57,16.43
2011-12-15,375.60,96.42,16.22
2011-12-14,376.84,97.25,16.05
2011-12-13,385.39,100.24,15.86
2011-12-12,388.39,99.71,15.90
2011-12-9,390.16,100.85,16.27
2011-12-8,387.22,98.92,15.76
2011-12-7,385.67,101.11,16.17
2011-12-6,387.51,100.96,16.15
2011-12-5,389.55,99.47,15.78
2011-12-2,386.27,98.37,15.54
2011-12-1,384.52,98.51,15.37
2011-11-30,378.84,99.47,15.37
2011-11-29,369.91,94.21,14.41
2011-11-28,372.81,92.65,14.30
2011-11-25,360.37,89.28,14.20
2011-11-23,363.76,90.69,14.23
2011-11-22,373.20,93.28,14.48
2011-11-21,365.76,92.54,14.72
2011-11-18,371.64,94.69,15.12
2011-11-17,374.09,96.82,15.11
2011-11-16,381.38,97.75,15.41
2011-11-15,385.41,99.12,15.65
2011-11-14,375.92,101.90,15.55
2011-11-11,381.23,102.75,15.75
2011-11-10,381.83,101.26,15.51
2011-11-9,391.80,100.09,15.31
2011-11-8,402.65,104.48,15.92
2011-11-7,396.21,103.39,15.83
2011-11-4,396.72,102.15,15.83
2011-11-3,399.52,101.86,16.10
2011-11-2,393.91,100.34,15.70
2011-11-1,393.02,97.98,15.48
2011-10-31,401.22,100.83,16.14
2011-10-28,401.39,105.23,16.66
2011-10-27,401.13,104.59,16.78
2011-10-26,397.07,102.48,15.79
2011-10-25,394.27,100.30,15.67
2011-10-24,402.20,102.00,15.89
2011-10-21,389.41,101.29,15.76
2011-10-20,391.83,99.23,16.07
2011-10-19,395.11,98.13,15.96
2011-10-18,418.52,98.81,16.14
2011-10-17,416.29,94.65,15.68
2011-10-14,418.29,96.43,16.04
2011-10-13,404.83,93.86,15.67
2011-10-12,398.65,93.85,15.84
2011-10-11,396.77,93.68,15.59
2011-10-10,385.39,94.25,15.59
2011-10-7,366.54,90.61,14.97
2011-10-6,374.05,90.81,15.00
2011-10-5,374.92,90.85,14.75
2011-10-4,369.22,87.80,14.36
2011-10-3,371.30,86.27,14.19
2011-9-30,377.96,88.87,14.70
2011-9-29,387.13,90.60,15.32
2011-9-28,393.52,88.05,14.93
2011-9-27,395.75,89.78,15.22
2011-9-26,399.62,87.81,15.04
2011-9-23,400.74,86.39,14.69
2011-9-22,398.28,86.55,14.53
2011-9-21,408.51,90.48,14.86
2011-9-20,409.81,93.86,15.50
2011-9-19,408.01,94.74,15.63
2011-9-16,396.97,95.63,15.78
2011-9-15,389.50,95.27,15.53
2011-9-14,385.87,93.40,15.11
2011-9-13,381.23,92.07,14.75
2011-9-12,376.60,92.05,14.36
2011-9-9,374.16,91.36,14.44
2011-9-8,380.76,94.45,14.92
2011-9-7,380.55,95.30,15.12
2011-9-6,376.40,91.77,14.59
2011-9-2,370.76,92.53,15.08
2011-9-1,377.68,94.56,15.50
2011-8-31,381.44,94.87,15.61
2011-8-30,386.56,94.44,15.42
2011-8-29,386.54,94.77,15.35
2011-8-26,380.20,92.96,14.87
2011-8-25,370.43,92.10,14.78
2011-8-24,372.87,93.67,15.04
2011-8-23,370.31,93.42,14.87
2011-8-22,353.30,89.55,14.46
2011-8-19,352.90,89.54,14.44
2011-8-18,362.83,89.49,14.68
2011-8-17,377.09,93.75,15.53
2011-8-16,377.13,93.45,15.45
2011-8-15,380.04,94.36,15.68
2011-8-12,373.67,91.28,15.19
2011-8-11,370.41,89.57,15.00
2011-8-10,360.49,86.24,14.44
2011-8-9,370.72,88.93,15.27
2011-8-8,350.10,85.93,14.76
2011-8-5,370.33,92.94,15.80
2011-8-4,374.05,92.21,15.76
2011-8-3,389.11,97.85,16.72
2011-8-2,385.49,98.50,16.47
2011-8-1,393.26,100.34,17.19
2011-7-29,387.04,99.05,17.14
2011-7-28,388.37,100.01,17.33
2011-7-27,389.13,100.58,17.33
2011-7-26,399.86,102.43,17.76
2011-7-25,394.99,102.93,18.14
2011-7-22,389.84,103.76,18.22
2011-7-21,383.88,104.20,18.33
2011-7-20,383.49,101.98,17.98
2011-7-19,373.53,102.34,17.78
2011-7-18,370.51,101.15,17.50
2011-7-15,361.71,101.11,17.62
2011-7-14,354.62,99.66,17.73
2011-7-13,354.87,100.06,17.71
2011-7-12,350.64,99.40,17.59
2011-7-11,350.88,99.42,17.83
2011-7-8,356.54,100.83,18.17
2011-7-7,354.06,101.49,18.47
2011-7-6,348.66,100.05,18.23
2011-7-5,346.35,100.09,18.22
2011-7-1,340.24,99.11,18.37
2011-6-30,332.72,97.92,18.05
2011-6-29,331.10,96.44,17.76
2011-6-28,332.31,95.55,17.64
2011-6-27,329.12,94.17,17.49
2011-6-24,323.48,93.22,17.19
2011-6-23,328.31,94.61,17.59
2011-6-22,319.77,96.24,17.76
2011-6-21,322.44,96.73,18.00
2011-6-20,312.54,95.13,17.68
2011-6-17,317.44,94.43,17.69
2011-6-16,322.30,94.67,17.64
2011-6-15,323.87,93.70,17.45
2011-6-14,329.51,95.79,17.65
2011-6-13,323.73,94.20,17.45
2011-6-10,323.03,94.90,17.39
2011-6-9,328.57,96.39,17.63
2011-6-8,329.32,95.17,17.57
2011-6-7,329.12,94.71,17.54
2011-6-6,335.06,94.91,17.52
2011-6-3,340.42,96.17,17.86
2011-6-2,343.05,96.28,18.12
2011-6-1,342.47,97.59,18.16
2011-5-31,344.77,99.89,18.64
2011-5-27,334.44,98.27,18.45
2011-5-26,332.05,98.42,18.43
2011-5-25,333.82,98.31,18.24
2011-5-24,329.27,97.38,18.13
2011-5-23,331.46,96.52,18.40
2011-5-20,332.27,97.66,18.62
2011-5-19,337.53,98.90,18.94
2011-5-18,336.88,97.94,18.75
2011-5-17,333.18,95.61,18.59
2011-5-16,330.37,96.05,18.75
2011-5-13,337.50,96.74,18.88
2011-5-12,343.52,97.09,19.11
2011-5-11,344.17,96.62,19.07
2011-5-10,346.37,98.61,19.27
2011-5-9,344.54,98.35,19.05
2011-5-6,343.61,97.21,18.99
2011-5-5,343.70,96.96,18.89
2011-5-4,346.49,98.91,19.24
2011-5-3,345.14,100.32,19.59
2011-5-2,343.23,102.22,19.44
2011-4-29,347.05,103.41,19.41
2011-4-28,343.70,102.81,19.55
2011-4-27,347.07,102.96,19.60
2011-4-26,347.34,102.75,19.08
2011-4-25,349.90,101.50,18.88
2011-4-21,347.61,102.17,18.93
2011-4-20,339.40,101.87,19.36
2011-4-19,334.89,99.59,19.24
2011-4-18,328.93,98.74,18.96
2011-4-15,324.58,100.38,19.02
2011-4-14,329.49,99.10,18.98
2011-4-13,333.17,98.09,18.92
